Name,Spotify ID
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
Frank Ocean,2h93pZq0e7k5yf4dywlkpM
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy
Young Miko,3qsKSpcV3ncke3hw52JSMB
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
Don Omar,33ScadVnbm2X8kkUqOkC6Z
Jung Kook,6HaGTQPmzraVmaVxvz6EUc
Anuel AA,2R21vXR83lH98kGeO99Y66
Kygo,23fqKkggKUBHNkbKtXEls4
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
Quevedo,52iwsT98xCoGgiGntTiR7K
Hozier,2FXC3k01G6Gw61bmprjgqS
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Vance Joy,10exVja0key0uqUkk6LJRT
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
Rema,46pWGuE3dSwY3bMMXGBvVS
Flo Rida,0jnsk9HBra6NMjO2oANoPY
Xavi,3Me35AWHCGqW4sZ7bWWJt1
Lil Baby,5f7VJjfbwm532GiveGC0ZK
Green Day,7oPftvlwr6VrsViSDV7fJY
Young Thug,50co4Is1HCEo8bhOyUWKpn
ABBA,0LcJLqbBmaGUft1e9Mm8HV
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
Nirvana,6olE6TJLqED3rqDCT0FyPh
Major Lazer,738wLrAtLtCtFOLvQBXOXp
BTS,3Nrfpe0tUJi4K4DXYWgMUX
Carin Leon,66ihevNkSYNzRAl44dx6jJ
Teddy Swims,33qOK5uJ8AR2xuQQAhHump
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
AC/DC,711MCceyCBcFnzjGY4Q7Un
Diplo,5fMUXHkw8R8eOP2RNVYEZX
The Police,5NGO30tJxFlKixkPSgXcFE
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
Macklemore,3JhNCzhSMTxs9WLGJJxWOY
Alan Walker,7vk5e3vY1uw9plTHJAMwjN
Demi Lovato,6S2OmqARrzebs0tKUEyXyp
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA
Troye Sivan,3WGpXCj9YhhfX11TToZcXP
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
Kodak Black,46SHBwWsqBkxI7EeeBEQG7
Tom Odell,2txHhyCwHjUEpJjWrEyqyX
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
Bon Jovi,58lV9VcRSjABbAbfWS6skp
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Cardi B,4kYSro6naA4h99UJvo89HB
Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg
Chencho Corleone,37230BxxYs9ksS7OkZw3IU
Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2
Tyla,3SozjO3Lat463tQICI9LcE
Jhayco,6nVcHLIgY5pE2YCl8ubca1
Labrinth,2feDdbD5araYcm6JhFHHw7
Steve Lacy,57vWImR43h4CaDao012Ofp
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw
DaBaby,4r63FhuTkUYltbVAg5TQnk
Alok,0NGAZxHanS9e0iNHpR8f2W
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea
Akon,0z4gvV4rjIZ9wHck67ucSV
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf
David Kushner,33NVpKoXjItPwUJTMZIOiY
Bee Gees,1LZEQNv7sE11VDY3SdxQeN
Ne-Yo,21E3waRsmPlU7jZsS13rcj
Tame Impala,5INjqkS1o8h1imAzPqGZBb
Becky G,4obzFoKoKRHIphyHzJ35G3
Miguel,360IAlyVv4PCEVjgyMZrxK
Junior H,7Gi6gjaWy3DxyilpF1a8Is
Don Toliver,4Gso3d4CscCijv0lmajZWs
ZAYN,5ZsFI1h6hIdQRw2ti0hz81
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg
Radiohead,4Z8W4fKeB5YxbusRsdQVPb
Central Cee,5H4yInM5zmHqpKIoMNAx4r
Bastille,7EQ0qTo7fWT7DPxmxtSYEc
Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Arcángel,4SsVbpTthjScTS7U2hmr1X
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG
Nicky Jam,1SupJlEpv7RS2tPNRaHViT
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e
The Killers,0C0XlULifJtAgn6ZNCW2eu
Metallica,2ye2Wgw4gimLv2eAKyk1NB
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Lil Durk,3hcs9uc56yIGFCSy9leWe7
Kacey Musgraves,70kkdajctXSbqSMJbQO424
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
d4vd,5y8tKLUfMvliMe8IKamR32
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
Tyga,5LHRHt1k9lMyONurDHEdrp
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
Summer Walker,57LYzLEk2LcFghVwuWbcuS
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S
ATL Jacob,7jAs1uPnpfNmT6e5qtEPxq
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX
Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
JVKE,164Uj4eKjl6zTBKfJLFKKK
Christian Nodal,0XwVARXT135rw8lyw1EeWP
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
Latto,3MdXrJWsbVzdn6fe5JYkSQ
Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE
Mac Miller,4LLpKhyESsyAXpc4laK94U
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG
Vishal Mishra,5wJ1H6ud777odtZl5gG507
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp
Disney,3xvaSlT4xsyk6lY1ESOspO
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7
El Alfa,2oQX8QiMXOyuqbcZEFsZfm
2Pac,1ZwdS5xdxEREPySFridCfh
Bob Marley & The Wailers,6BH2lormtpjy3X9DyrGHVj
D-Block Europe,5VadK1havLhK1OpKYsXv9y
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
John Legend,5y2Xq6xcjJb2jVM54GHK3t
Giveon,4fxd5Ee7UefO4CUXgwJ7IP
Baby Keem,5SXuuuRpukkTvsLuUknva1
Elley Duhé,67MNhiAICFY6Pwc2YxCO0K
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO
Natanael Cano,0elWFr7TW8piilVRYJUe4P
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O
Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU
Plan B,2jSGzJw0ebJLu7OLVSOcBP
Macklemore & Ryan Lewis,3JhNCzhSMTxs9WLGJJxWOY
Ryan Lewis,4myTppRgh0rojLxx8RycOp
Marvin Gaye,3koiLjNrgRTNbOwViDipeA
U2,51Blml2LZPmy7TTiAg47vQ
Luke Combs,718COspgdWOnwOFpJHRZHS
Ryan Castro,7j6DKwmjbxvpQO8h914uEz
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt
Flo Milli,08PvCOlef4xdOr20jFSTPd
Tainy,0GM7qgcRCORpGnfcN2tCiB
Mora,0Q8NcsJwoCbZOHHW63su5S
Grupo Marca Registrada,1gW6pz5n1aK249L0GvfQCC
Hotel Ugly,35WVTyRnKAoaGExqgktVyb
Shilpa Rao,19LIHDDSHBD5NyYHI3gpzB
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf
Chino Pacas,2rmkQLzj0k4nZdQehOUByO
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ
Roddy Ricch,757aE44tKEUQEqRuT6GnEB
Sexyy Red,3DbwFQlvLxRSi2uX8mf81A
Chris Stapleton,4YLtscXsxbVgi031ovDDdh
Phil Collins,4lxfqrEsLX6N1N4OCSkILp
Måneskin,0lAWpj5szCSwM4rUMHYmrr
Grupo Firme,1dKdetem2xEmjgvyymzytS
Lorde,163tK9Wjr9P9DmM0AVK7lm
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1
Empire of the Sun,67hb7towEyKvt5Z8Bx306c
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ
Paramore,74XFHRwlV6OrjEM0A2NCMF
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD
The Cranberries,7t0rwkOPGlDPEhaOcVtOt9
TV Girl,0Y6dVaC9DZtPNH4591M42W
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb
